# Lambda(nm) R(%)
7.000000000000000000e+02 1.254112074927849485e-01
7.015037593984961859e+02 1.260819898652525972e-01
7.030075187969924855e+02 1.267434408292004155e-01
7.045112781954887851e+02 1.274067660475482755e-01
7.060150375939849710e+02 1.280661854975746750e-01
7.075187969924811568e+02 1.287204605298874482e-01
7.090225563909774564e+02 1.293799265293242295e-01
7.105263157894737560e+02 1.300298934172688103e-01
7.120300751879699419e+02 1.306766278926548008e-01
7.135338345864661278e+02 1.313215931359994204e-01
7.150375939849624274e+02 1.319588451149298347e-01
7.165413533834587270e+02 1.325930533070803496e-01
7.180451127819549129e+02 1.332265664755070411e-01
7.195488721804510988e+02 1.338575956597843897e-01
7.210526315789472847e+02 1.344759054242244956e-01
7.225563909774435842e+02 1.351000683279428294e-01
7.240601503759398838e+02 1.357206500698118490e-01
7.255639097744360697e+02 1.363355801505443665e-01
7.270676691729322556e+02 1.369466166351676617e-01
7.285714285714285552e+02 1.375611291713613737e-01
7.300751879699248548e+02 1.381648906273160726e-01
7.315789473684210407e+02 1.387626602417920962e-01
7.330827067669172266e+02 1.393580626391448252e-01
7.345864661654135261e+02 1.399510858236978628e-01
7.360902255639098257e+02 1.405417183936785441e-01
7.375939849624060116e+02 1.411299495268044657e-01
7.390977443609021975e+02 1.417210101537425548e-01
7.406015037593984971e+02 1.423148645861508910e-01
7.421052631578947967e+02 1.429120267700801639e-01
7.436090225563909826e+02 1.435117701953471381e-01
7.451127819548871685e+02 1.441031021149631608e-01
7.466165413533834680e+02 1.446918631308641567e-01
7.481203007518797676e+02 1.452711167790742830e-01
7.496240601503759535e+02 1.458470264034407160e-01
7.511278195488721394e+02 1.464186187631565939e-01
7.526315789473684390e+02 1.469877057366315853e-01
7.541353383458647386e+02 1.475565093901332892e-01
7.556390977443609245e+02 1.481206008274980335e-01
7.571428571428571104e+02 1.486948463844348922e-01
7.586466165413534100e+02 1.492722594840458494e-01
7.601503759398495959e+02 1.498485754993394703e-01
7.616541353383458954e+02 1.504299576694117235e-01
7.631578947368420813e+02 1.510172113064614241e-01
7.646616541353382672e+02 1.515945145083088252e-01
7.661654135338345668e+02 1.521604455357395136e-01
7.676691729323308664e+02 1.527203747013641810e-01
